City Id,Corregimiento,City Name,Country Name
1,Almirante,Almirante,PANAMA
2,Barriada Guaymí,Almirante,PANAMA
3,Barrio Francés,Almirante,PANAMA
4,Nance de Riscó,Almirante,PANAMA
5,Valle de Aguas Arriba,Almirante,PANAMA
6,Valle de Riscó,Almirante,PANAMA
7,Bastimentos,Bocas del Toro,PANAMA
8,Bocas del Toro,Bocas del Toro,PANAMA
9,Cauchero,Bocas del Toro,PANAMA
10,Punta Laurel,Bocas del Toro,PANAMA
11,Tierra Oscura,Bocas del Toro,PANAMA
12,Barriada 4 de Abril,Changuinola,PANAMA
13,Changuinola,Changuinola,PANAMA
14,Cochigro,Changuinola,PANAMA
15,El Empalme,Changuinola,PANAMA
16,El Silencio,Changuinola,PANAMA
17,El Teribe,Changuinola,PANAMA
18,Finca 30,Changuinola,PANAMA
19,Finca 6,Changuinola,PANAMA
20,Finca 60,Changuinola,PANAMA
21,Guabito,Changuinola,PANAMA
22,La Gloria,Changuinola,PANAMA
23,Las Delicias,Changuinola,PANAMA
24,Las Tablas,Changuinola,PANAMA
25,Bajo Cedro,Chiriquí Grande,PANAMA
26,Chiriquí Grande,Chiriquí Grande,PANAMA
27,Miramar,Chiriquí Grande,PANAMA
28,Punta Peña,Chiriquí Grande,PANAMA
29,Punta Robalo,Chiriquí Grande,PANAMA
30,Rambala,Chiriquí Grande,PANAMA
31,Alanje,Alanje,PANAMA
32,Canta Gallo,Alanje,PANAMA
33,Divalá,Alanje,PANAMA
34,El Tejar,Alanje,PANAMA
35,Guarumal,Alanje,PANAMA
36,Nuevo México,Alanje,PANAMA
37,Palo Grande,Alanje,PANAMA
38,Querévalo,Alanje,PANAMA
39,Santo Tomás,Alanje,PANAMA
40,Baco,Barú,PANAMA
41,Limones,Barú,PANAMA
42,Progreso,Barú,PANAMA
43,Puerto Armuelles,Barú,PANAMA
44,Rodolfo Aguilar Delgado,Barú,PANAMA
45,Bágala,Boquerón,PANAMA
46,Boquerón,Boquerón,PANAMA
47,Cordillera,Boquerón,PANAMA
48,Guabal,Boquerón,PANAMA
49,Guayabal,Boquerón,PANAMA
50,Paraíso,Boquerón,PANAMA
51,Pedregal,Boquerón,PANAMA
52,Tijeras,Boquerón,PANAMA
53,Alto Boquete,Boquete,PANAMA
54,Bajo Boquete,Boquete,PANAMA
55,Caldera,Boquete,PANAMA
56,Jaramillo,Boquete,PANAMA
57,Los Naranjos,Boquete,PANAMA
58,Palmira,Boquete,PANAMA
59,Aserrío de Gariché,Bugaba,PANAMA
60,Bugaba,Bugaba,PANAMA
61,El Bogon,Bugaba,PANAMA
62,Gómez,Bugaba,PANAMA
63,La Concepción,Bugaba,PANAMA
64,La Estrella,Bugaba,PANAMA
65,San Andrés,Bugaba,PANAMA
66,San Isidro,Bugaba,PANAMA
67,Santa María,Bugaba,PANAMA
68,Santa Rosa,Bugaba,PANAMA
69,Santo Domingo,Bugaba,PANAMA
70,Solano,Bugaba,PANAMA
71,Sortová,Bugaba,PANAMA
72,Bijagual,David,PANAMA
73,Chiriquí,David,PANAMA
74,Cochea,David,PANAMA
75,David,David,PANAMA
76,David Este,David,PANAMA
77,David Sur,David,PANAMA
78,Guacá,David,PANAMA
79,Las Lomas,David,PANAMA
80,Pedregal,David,PANAMA
81,San Carlos,David,PANAMA
82,San Pablo Nuevo,David,PANAMA
83,San Pablo Viejo,David,PANAMA
84,Dolega,Dolega,PANAMA
85,Dos Ríos,Dolega,PANAMA
86,Los Algarrobos,Dolega,PANAMA
87,Los Anastacios,Dolega,PANAMA
88,Potrerillos,Dolega,PANAMA
89,Potrerillos Abajo,Dolega,PANAMA
90,Rovira,Dolega,PANAMA
91,Tinajas,Dolega,PANAMA
92,Gualaca,Gualaca,PANAMA
93,Hornito,Gualaca,PANAMA
94,Los Angeles,Gualaca,PANAMA
95,Paja de Sombrero,Gualaca,PANAMA
96,Rincón,Gualaca,PANAMA
97,El Nancito,Remedios,PANAMA
98,El Porvenir,Remedios,PANAMA
99,El Puerto,Remedios,PANAMA
100,Remedios,Remedios,PANAMA
101,Santa Lucía,Remedios,PANAMA
102,Breñón,Renacimiento,PANAMA
103,Cañas Gordas,Renacimiento,PANAMA
104,Dominical,Renacimiento,PANAMA
105,Monte Lirio,Renacimiento,PANAMA
106,Plaza de Caizán,Renacimiento,PANAMA
107,Río Sereno,Renacimiento,PANAMA
108,Santa Clara,Renacimiento,PANAMA
109,Santa Cruz,Renacimiento,PANAMA
110,Juay,San Félix,PANAMA
111,Lajas Adentro,San Félix,PANAMA
112,Las Lajas,San Félix,PANAMA
113,San Félix,San Félix,PANAMA
114,Santa Cruz,San Félix,PANAMA
115,Boca Chica,San Lorenzo,PANAMA
116,Boca del Monte,San Lorenzo,PANAMA
117,Horconcitos,San Lorenzo,PANAMA
118,San Juan,San Lorenzo,PANAMA
119,San Lorenzo,San Lorenzo,PANAMA
120,Cerro Punta,Tierras Altas,PANAMA
121,Cuesta de Piedra,Tierras Altas,PANAMA
122,Nueva California,Tierras Altas,PANAMA
123,Paso Ancho,Tierras Altas,PANAMA
124,Volcán,Tierras Altas,PANAMA
125,Bella Vista,Tolé,PANAMA
126,Cerro Viejo,Tolé,PANAMA
127,El cristo,Tolé,PANAMA
128,Justo Fidel Palacios,Tolé,PANAMA
129,Lajas de Tolé,Tolé,PANAMA
130,Potrero de Caña,Tolé,PANAMA
131,Quebrada de Piedra,Tolé,PANAMA
132,Tolé,Tolé,PANAMA
133,Veladero,Tolé,PANAMA
134,Aguadulce,Aguadulce,PANAMA
135,Barrios Unidos,Aguadulce,PANAMA
136,El Cristo,Aguadulce,PANAMA
137,El Hato de San Juan de Dios,Aguadulce,PANAMA
138,El Roble,Aguadulce,PANAMA
139,Pocrí,Aguadulce,PANAMA
140,Pueblo Unidos,Aguadulce,PANAMA
141,Virgen del Carmen,Aguadulce,PANAMA
142,Antón,Antón,PANAMA
143,Caballero,Antón,PANAMA
144,Cabuya,Antón,PANAMA
145,El Chirú,Antón,PANAMA
146,El Retiro,Antón,PANAMA
147,El Valle,Antón,PANAMA
148,Juan Díaz,Antón,PANAMA
149,Río Hato,Antón,PANAMA
150,San Juan de Dios,Antón,PANAMA
151,Santa Rita,Antón,PANAMA
152,El Harino,La Pintada,PANAMA
153,El Potrero,La Pintada,PANAMA
154,La Pintada,La Pintada,PANAMA
155,Las Lomas,La Pintada,PANAMA
